ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60625,23,2021-06-06,2021-06-12,13.0,7158.0,16.0,9033.0,1362.0,121404,1719,153204.7,0.0,0.1,2,196,2.5,247.3,79243,60625-2021-23,POINT (-87.701816 41.971155)
60625,24,2021-06-13,2021-06-19,7.0,7165.0,9.0,9041.8,1320.0,122724,1666,154870.5,0.0,0.1,0,196,0.0,247.3,79243,60625-2021-24,POINT (-87.701816 41.971155)
60625,25,2021-06-20,2021-06-26,9.0,7174.0,11.0,9053.2,1319.0,124043,1664,156535.0,0.0,0.1,1,197,1.3,248.6,79243,60625-2021-25,POINT (-87.701816 41.971155)
60625,26,2021-06-27,2021-07-03,22.0,7196.0,28.0,9080.9,1072.0,125115,1353,157887.8,0.0,0.1,0,197,0.0,248.6,79243,60625-2021-26,POINT (-87.701816 41.971155)
60625,27,2021-07-04,2021-07-10,32.0,7228.0,40.0,9121.3,1326.0,126441,1673,159561.1,0.0,0.1,0,197,0.0,248.6,79243,60625-2021-27,POINT (-87.701816 41.971155)
60625,28,2021-07-11,2021-07-17,32.0,7260.0,40.0,9161.7,1595.0,128036,2013,161573.9,0.0,0.1,0,197,0.0,248.6,79243,60625-2021-28,POINT (-87.701816 41.971155)
60625,29,2021-07-18,2021-07-24,53.0,7313.0,67.0,9228.6,1544.0,129580,1948,163522.3,0.0,0.1,0,197,0.0,248.6,79243,60625-2021-29,POINT (-87.701816 41.971155)
60625,30,2021-07-25,2021-07-31,70.0,7383.0,88.0,9316.9,1897.0,131477,2394,165916.2,0.0,0.1,0,197,0.0,248.6,79243,60625-2021-30,POINT (-87.701816 41.971155)
60625,31,2021-08-01,2021-08-07,142.0,7525.0,179.0,9496.1,2799.0,134276,3532,169448.4,0.0,0.1,1,198,1.3,249.9,79243,60625-2021-31,POINT (-87.701816 41.971155)
60625,32,2021-08-08,2021-08-14,111.0,7636.0,140.0,9636.2,2626.0,136902,3314,172762.3,0.0,0.1,2,200,2.5,252.4,79243,60625-2021-32,POINT (-87.701816 41.971155)
60625,33,2021-08-15,2021-08-21,133.0,7769.0,168.0,9804.0,2948.0,139850,3720,176482.5,0.0,0.1,0,200,0.0,252.4,79243,60625-2021-33,POINT (-87.701816 41.971155)
60625,34,2021-08-22,2021-08-28,117.0,7886.0,148.0,9951.7,2932.0,142782,3700,180182.5,0.0,0.1,1,201,1.3,253.7,79243,60625-2021-34,POINT (-87.701816 41.971155)
60625,35,2021-08-29,2021-09-04,93.0,7979.0,117.0,10069.0,2981.0,145763,3762,183944.3,0.0,0.1,0,201,0.0,253.7,79243,60625-2021-35,POINT (-87.701816 41.971155)
60625,36,2021-09-05,2021-09-11,85.0,8064.0,107.0,10176.3,3147.0,148910,3971,187915.7,0.0,0.1,0,201,0.0,253.7,79243,60625-2021-36,POINT (-87.701816 41.971155)
60625,37,2021-09-12,2021-09-18,116.0,8180.0,146.0,10322.7,5143.0,154053,6490,194405.8,0.0,0.1,1,202,1.3,254.9,79243,60625-2021-37,POINT (-87.701816 41.971155)
60625,38,2021-09-19,2021-09-25,91.0,8271.0,115.0,10437.5,5734.0,159787,7236,201641.8,0.0,0.1,0,202,0.0,254.9,79243,60625-2021-38,POINT (-87.701816 41.971155)
60625,39,2021-09-26,2021-10-02,88.0,8359.0,111.0,10548.6,6074.0,165861,7665,209306.8,0.0,0.1,0,202,0.0,254.9,79243,60625-2021-39,POINT (-87.701816 41.971155)
60624,10,2024-03-03,2024-03-09,5.0,10287.0,14.0,28450.1,0.0,0,0,0.0,0.0,0.0,0,120,0.0,331.9,36158,60624-2024-10,POINT (-87.722735 41.879417)
60624,12,2024-03-17,2024-03-23,5.0,10301.0,14.0,28488.9,0.0,0,0,0.0,0.0,0.0,0,120,0.0,331.9,36158,60624-2024-12,POINT (-87.722735 41.879417)
60624,9,2024-02-25,2024-03-02,10.0,10282.0,28.0,28436.3,0.0,0,0,0.0,0.0,0.0,0,120,0.0,331.9,36158,60624-2024-9,POINT (-87.722735 41.879417)
60625,40,2021-10-03,2021-10-09,68.0,8427.0,86.0,10634.4,6427.0,172288,8110,217417.3,0.0,0.1,0,202,0.0,254.9,79243,60625-2021-40,POINT (-87.701816 41.971155)
60625,41,2021-10-10,2021-10-16,76.0,8503.0,96.0,10730.3,6494.0,178782,8195,225612.4,0.0,0.0,2,204,2.5,257.4,79243,60625-2021-41,POINT (-87.701816 41.971155)
60625,42,2021-10-17,2021-10-23,69.0,8572.0,87.0,10817.4,6231.0,185013,7863,233475.5,0.0,0.0,2,206,2.5,260.0,79243,60625-2021-42,POINT (-87.701816 41.971155)
60625,45,2021-11-07,2021-11-13,97.0,8829.0,122.0,11141.7,6369.0,204062,8037,257514.2,0.0,0.0,0,207,0.0,261.2,79243,60625-2021-45,POINT (-87.701816 41.971155)
60625,46,2021-11-14,2021-11-20,122.0,8951.0,154.0,11295.6,7043.0,211105,8888,266402.1,0.0,0.0,1,208,1.3,262.5,79243,60625-2021-46,POINT (-87.701816 41.971155)
60625,47,2021-11-21,2021-11-27,87.0,9038.0,110.0,11405.4,6118.0,217223,7721,274122.6,0.0,0.0,0,208,0.0,262.5,79243,60625-2021-47,POINT (-87.701816 41.971155)
60625,48,2021-11-28,2021-12-04,189.0,9227.0,238.0,11643.9,8235.0,225458,10392,284514.7,0.0,0.0,0,208,0.0,262.5,79243,60625-2021-48,POINT (-87.701816 41.971155)
60625,49,2021-12-05,2021-12-11,217.0,9444.0,274.0,11917.8,7588.0,233046,9576,294090.3,0.0,0.0,0,208,0.0,262.5,79243,60625-2021-49,POINT (-87.701816 41.971155)
